MSA,Health Spending,stat,N,year
*all MSAs,151,0.25,534860,2003
*all MSAs,746,0.5,534860,2003
*all MSAs,2545,0.75,534860,2003
*all MSAs,6800,0.9,534860,2003
*all MSAs,3033,mean,534860,2003
*all MSAs,158,0.25,772394,2004
*all MSAs,804,0.5,772394,2004
*all MSAs,2771,0.75,772394,2004
*all MSAs,7345,0.9,772394,2004
*all MSAs,3267,mean,772394,2004
*all MSAs,183,0.25,922332,2005
*all MSAs,863,0.5,922332,2005
*all MSAs,2933,0.75,922332,2005
*all MSAs,7724,0.9,922332,2005
*all MSAs,3480,mean,922332,2005
*all MSAs,194,0.25,1042519,2006
*all MSAs,916,0.5,1042519,2006
*all MSAs,3088,0.75,1042519,2006
*all MSAs,8156,0.9,1042519,2006
*all MSAs,3701,mean,1042519,2006
*all MSAs,216,0.25,1096241,2007
*all MSAs,969,0.5,1096241,2007
*all MSAs,3190,0.75,1096241,2007
*all MSAs,8481,0.9,1096241,2007
*all MSAs,3841,mean,1096241,2007
*all MSAs,225,0.25,1329526,2008
*all MSAs,995,0.5,1329526,2008
*all MSAs,3311,0.75,1329526,2008
*all MSAs,8929,0.9,1329526,2008
*all MSAs,4061,mean,1329526,2008
*all MSAs,264,0.25,1419914,2009
*all MSAs,1084,0.5,1419914,2009
*all MSAs,3532,0.75,1419914,2009
*all MSAs,9521,0.9,1419914,2009
*all MSAs,4352,mean,1419914,2009
*all MSAs,248,0.25,1502097,2010
*all MSAs,1058,0.5,1502097,2010
*all MSAs,3496,0.75,1502097,2010
*all MSAs,9630,0.9,1502097,2010
*all MSAs,4460,mean,1502097,2010
*all MSAs,255,0.25,1524786,2011
*all MSAs,1064,0.5,1524786,2011
*all MSAs,3522,0.75,1524786,2011
*all MSAs,9858,0.9,1524786,2011
*all MSAs,4616,mean,1524786,2011
*all MSAs,255,0.25,1561290,2012
*all MSAs,1063,0.5,1561290,2012
*all MSAs,3535,0.75,1561290,2012
*all MSAs,10102,0.9,1561290,2012
*all MSAs,4736,mean,1561290,2012
*all MSAs,258,0.25,1571360,2013
*all MSAs,1050,0.5,1571360,2013
*all MSAs,3536,0.75,1571360,2013
*all MSAs,10387,0.9,1571360,2013
*all MSAs,4906,mean,1571360,2013
*all MSAs,260,0.25,15183210,2014
*all MSAs,1050,0.5,15183210,2014
*all MSAs,3587,0.75,15183210,2014
*all MSAs,10754,0.9,15183210,2014
*all MSAs,5176,mean,15183210,2014
*all MSAs,261,0.25,14773169,2015
*all MSAs,1062,0.5,14773169,2015
*all MSAs,3691,0.75,14773169,2015
*all MSAs,11197,0.9,14773169,2015
*all MSAs,5413,mean,14773169,2015
*all MSAs,258,0.25,15294319,2016
*all MSAs,1044,0.5,15294319,2016
*all MSAs,3660,0.75,15294319,2016
*all MSAs,11358,0.9,15294319,2016
*all MSAs,5525,mean,15294319,2016
"Abilene, TX",148,0.25,69,2003
"Abilene, TX",1936,0.75,69,2003
"Abilene, TX",1766,mean,69,2003
"Abilene, TX",661,0.5,69,2003
"Abilene, TX",4055,0.9,69,2003
"Abilene, TX",2068,0.75,107,2004
"Abilene, TX",454,0.5,107,2004
"Abilene, TX",46,0.25,107,2004
"Abilene, TX",6391,0.9,107,2004
"Abilene, TX",2071,mean,107,2004
"Abilene, TX",3011,0.75,165,2005
"Abilene, TX",3163,mean,165,2005
"Abilene, TX",710,0.5,165,2005
"Abilene, TX",136,0.25,165,2005
"Abilene, TX",7786,0.9,165,2005
"Abilene, TX",3510,mean,181,2006
"Abilene, TX",155,0.25,181,2006
"Abilene, TX",9914,0.9,181,2006
"Abilene, TX",990,0.5,181,2006
"Abilene, TX",3622,0.75,181,2006
"Abilene, TX",3760,0.75,185,2007
"Abilene, TX",3555,mean,185,2007
"Abilene, TX",861,0.5,185,2007
"Abilene, TX",116,0.25,185,2007
"Abilene, TX",10595,0.9,185,2007
"Abilene, TX",3126,0.75,228,2008
"Abilene, TX",1068,0.5,228,2008
"Abilene, TX",8215,0.9,228,2008
"Abilene, TX",176,0.25,228,2008
"Abilene, TX",4071,mean,228,2008
"Abilene, TX",9460,0.9,277,2009
"Abilene, TX",3546,0.75,277,2009
"Abilene, TX",4370,mean,277,2009
"Abilene, TX",266,0.25,277,2009
"Abilene, TX",1058,0.5,277,2009
"Abilene, TX",11348,0.9,367,2010
"Abilene, TX",1040,0.5,367,2010
"Abilene, TX",6614,mean,367,2010
"Abilene, TX",3744,0.75,367,2010
"Abilene, TX",221,0.25,367,2010
"Abilene, TX",6129,mean,365,2011
"Abilene, TX",200,0.25,365,2011
"Abilene, TX",12112,0.9,365,2011
"Abilene, TX",1035,0.5,365,2011
"Abilene, TX",4720,0.75,365,2011
"Abilene, TX",3971,0.75,346,2012
"Abilene, TX",13476,0.9,346,2012
"Abilene, TX",5213,mean,346,2012
"Abilene, TX",206,0.25,346,2012
"Abilene, TX",923,0.5,346,2012
"Abilene, TX",5073,mean,348,2013
"Abilene, TX",1079,0.5,348,2013
"Abilene, TX",221,0.25,348,2013
"Abilene, TX",12074,0.9,348,2013
"Abilene, TX",4630,0.75,348,2013
"Abilene, TX",142,0.25,3520,2014
"Abilene, TX",3265,0.75,3520,2014
"Abilene, TX",11143,0.9,3520,2014
"Abilene, TX",828,0.5,3520,2014
"Abilene, TX",6505,mean,3520,2014
"Abilene, TX",5334,mean,3481,2015
"Abilene, TX",144,0.25,3481,2015
"Abilene, TX",10934,0.9,3481,2015
"Abilene, TX",3373,0.75,3481,2015
"Abilene, TX",799,0.5,3481,2015
"Abilene, TX",5565,mean,3963,2016
"Abilene, TX",134,0.25,3963,2016
"Abilene, TX",3339,0.75,3963,2016
"Abilene, TX",11016,0.9,3963,2016
"Abilene, TX",770,0.5,3963,2016
"Akron, OH",158,0.25,1468,2003
"Akron, OH",747,0.5,1468,2003
"Akron, OH",5996,0.9,1468,2003
"Akron, OH",2292,0.75,1468,2003
"Akron, OH",2714,mean,1468,2003
"Akron, OH",2702,0.75,2328,2004
"Akron, OH",6504,0.9,2328,2004
"Akron, OH",2817,mean,2328,2004
"Akron, OH",134,0.25,2328,2004
"Akron, OH",747,0.5,2328,2004
"Akron, OH",169,0.25,2983,2005
"Akron, OH",3256,mean,2983,2005
"Akron, OH",786,0.5,2983,2005
"Akron, OH",6790,0.9,2983,2005
"Akron, OH",2759,0.75,2983,2005
"Akron, OH",7596,0.9,3208,2006
"Akron, OH",2876,0.75,3208,2006
"Akron, OH",3607,mean,3208,2006
"Akron, OH",846,0.5,3208,2006
"Akron, OH",175,0.25,3208,2006
"Akron, OH",194,0.25,3082,2007
"Akron, OH",3660,mean,3082,2007
"Akron, OH",926,0.5,3082,2007
"Akron, OH",7676,0.9,3082,2007
"Akron, OH",3162,0.75,3082,2007
"Akron, OH",3313,0.75,3260,2008
"Akron, OH",197,0.25,3260,2008
"Akron, OH",8795,0.9,3260,2008
"Akron, OH",983,0.5,3260,2008
"Akron, OH",4170,mean,3260,2008
"Akron, OH",9364,0.9,3778,2009
"Akron, OH",3764,0.75,3778,2009
"Akron, OH",1177,0.5,3778,2009
"Akron, OH",4531,mean,3778,2009
"Akron, OH",262,0.25,3778,2009
"Akron, OH",9251,0.9,3785,2010
"Akron, OH",264,0.25,3785,2010
"Akron, OH",4363,mean,3785,2010
"Akron, OH",3692,0.75,3785,2010
"Akron, OH",1192,0.5,3785,2010
"Akron, OH",3647,0.75,4127,2011
"Akron, OH",4475,mean,4127,2011
"Akron, OH",266,0.25,4127,2011
"Akron, OH",1148,0.5,4127,2011
"Akron, OH",9052,0.9,4127,2011
"Akron, OH",4590,mean,4053,2012
"Akron, OH",9403,0.9,4053,2012
"Akron, OH",3652,0.75,4053,2012
"Akron, OH",1135,0.5,4053,2012
"Akron, OH",249,0.25,4053,2012
"Akron, OH",276,0.25,4064,2013
"Akron, OH",5179,mean,4064,2013
"Akron, OH",3922,0.75,4064,2013
"Akron, OH",10807,0.9,4064,2013
"Akron, OH",1153,0.5,4064,2013
"Akron, OH",1052,0.5,34086,2014
